00,00,23.7,78.4,440
00,01,23.8,78.7,437
00,02,23.9,79.3,440
00,03,24.0,79.5,440
00,04,23.9,79.8,440
00,05,23.9,79.9,447
00,06,24.0,79.8,445
00,07,24.1,79.8,443
00,08,24.1,79.6,438
00,09,23.9,78.6,429
00,10,23.5,77.2,429
00,11,23.4,77.5,429
00,12,23.5,77.8,427
00,13,23.6,79.3,429
00,14,23.7,79.5,430
00,15,23.8,79.8,434
00,16,23.8,80.2,437
00,17,24.0,80.2,439
00,18,24.0,79.9,434
00,19,23.9,79.0,428
00,20,23.7,78.6,431
00,21,23.6,78.5,432
00,22,23.7,78.5,435
00,23,23.7,78.9,435
00,24,23.8,79.0,441
00,25,24.0,79.4,441
00,26,24.0,79.6,430
00,27,23.9,79.1,421
00,28,23.6,78.3,422
00,29,23.5,78.1,421
00,30,23.5,78.3,423
00,31,23.5,78.8,420
00,32,23.6,79.1,426
00,33,23.7,79.7,436
00,34,23.8,79.9,438
00,35,24.0,79.9,438
00,36,24.1,79.8,414
00,37,23.7,77.6,408
00,38,23.3,77.5,410
00,39,23.2,77.2,412
00,40,23.3,78.1,418
00,41,23.5,78.6,419
00,42,23.5,79.1,421
00,43,23.6,79.7,428
00,44,23.7,79.9,429
00,45,23.8,80.2,433
00,46,24.0,80.1,431
00,47,23.9,78.6,421
00,48,23.5,78.5,425
00,49,23.5,78.3,420
00,50,23.4,78.4,420
00,51,23.5,79.3,419
00,52,23.6,79.8,425
00,53,23.7,80.0,427
00,54,23.9,80.3,432
00,55,24.0,80.1,434
00,56,24.0,79.0,431
00,57,23.7,76.8,421
00,58,23.4,77.1,416
00,59,23.4,77.2,423
